date,sales
2022-10-01,3000
2022-10-02,2500
2022-10-03,3100
2022-10-04,3000
2022-10-05,2800
2022-10-06,3000
2022-10-07,3300
2022-10-08,2700
2022-10-09,3000
2022-10-10,2700
2022-10-11,3200
2022-10-12,3000
2022-10-13,6000
2022-10-14,2700
2022-10-15,2500
2022-10-16,2000
2022-10-17,2000
2022-10-18,2500
2022-10-19,2500
2022-10-20,3000
2022-10-21,2700
2022-10-22,2800
2022-10-23,2500
2022-10-24,3200
2022-10-25,3000
2022-10-26,2800
2022-10-27,4000
2022-10-28,2500
2022-10-29,2000
2022-10-30,5000
2022-10-31,4000
2022-11-01,9000
2022-11-02,7000
2022-11-03,15000
2022-11-04,2000
2022-11-05,3000
2022-11-06,10000
2022-11-07,5000
2022-11-08,3000
2022-11-09,3500
2022-11-10,4000
2022-11-11,2800
2022-11-12,3500
2022-11-13,3000
2022-11-14,3000
2022-11-15,2800
2022-11-16,1900
2022-11-17,4100
2022-11-18,2500
2022-11-19,3000
2022-11-20,2800
2022-11-21,4000
2022-11-22,3000
2022-11-23,4000
2022-11-24,3500
2022-11-25,3000
2022-11-26,4000
2022-11-27,3500
2022-11-28,3400
2022-11-29,3000
2022-11-30,3000
2022-12-01,3200
2022-12-02,2500
2022-12-03,3000
2022-12-04,3200
2022-12-05,4000
2022-12-06,3500
2022-12-07,3000
2022-12-08,4000
2022-12-09,3500
2022-12-10,4000
2022-12-11,4500
2022-12-12,5000
2022-12-13,4500
2022-12-14,5000
2022-12-15,5200
2022-12-16,4000
2022-12-17,4000
2022-12-18,2500
2022-12-19,3000
2022-12-20,4000
2022-12-21,3000
2022-12-22,2800
2022-12-23,3200
2022-12-24,3000
2022-12-25,3200
2022-12-26,2800
2022-12-27,3000
2022-12-28,2500
2022-12-29,3000
2022-12-30,3200
2023-01-01,1800
2023-01-02,2000
2023-01-03,3000
2023-01-04,2500
2023-01-05,2000
2023-01-06,3200
2023-01-07,3000
2023-01-08,3500
2023-01-09,2000
2023-01-10,3000
2023-01-11,3000
2023-01-12,4000
2023-01-13,1500
2023-01-14,2000
2023-01-15,2000
2023-01-16,5200
2023-01-17,3000
2023-01-18,2000
2023-01-19,3500
2023-01-20,6000
2023-01-21,2500
2023-01-22,1700
2023-01-23,2000
2023-01-24,2500
2023-01-25,4000
2023-01-26,3000
2023-01-27,4000
2023-01-28,2000
2023-01-29,2500
