Date,Amount
11/11/2021,2021.0
15/11/2021,3000.0
11/11/2021,3000.0
2/11/2021,7000.0
1/11/2021,7000.0
16/11/2021,212800.0
11/11/2021,212800.0
15/11/2021,15000.0
4/11/2021,212000.0
12/11/2021,212000.0
18/11/2021,400.0
19/11/2021,2000.0
11/11/2021,2000.0
6/11/2021,3000.0
11/11/2021,3000.0
27/11/2021,200.0
11/11/2021,201082.0
8/11/2021,5000.0
11/11/2021,5000.0
2/11/2021,51000.0
23/11/2021,3000.0
11/11/2021,3000.0
9/11/2021,3000.0
11/11/2021,3000.0
10/11/2021,3800.0
11/11/2021,3800.0
12/11/2021,214002.0
11/11/2021,214002.0
25/11/2021,3500.0
11/11/2021,3500.0
27/11/2021,4000.0
13/11/2021,3500.0
11/11/2021,3500.0
14/11/2021,812.0
11/11/2021,3000.0
2/11/2021,3000.0
7/11/2021,800.0
29/11/2021,3400.0
4/11/2021,3400.0
30/11/2021,3000.0
11/11/2021,221400.0
21/11/2021,3000.0
01/12/2021,2000.0
02/12/2021,3200.0
03/12/2021,1000.0
05/12/2021,5000.0
06/12/2021,3400.0
07/12/2021,120.0
08/12/2021,60000.0
08/12/2021,3000.0
09/12/2021,1500.0
10/12/2021,3800.0
11/12/2021,2000.0
11/12/2021,3000.0
11/12/2021,210000.0
11/12/2021,3500.0
12/12/2021,3000.0
13/12/2021,900.0
14/12/2021,812.0
15/12/2021,400.0
16/12/2021,3400.0
17/12/2021,3500.0
18/12/2021,3000.0
18/12/2021,5000.0
19/12/2021,2200.0
20/12/2021,10000.0
21/12/2021,4000.0
22/12/2021,2800.0
23/12/2021,3000.0
24/12/2021,2950.0
25/12/2021,3700.0
26/12/2021,150.0
27/12/2021,210000.0
28/12/2021,3000.0
29/12/2021,6000.0
30/12/2021,2900.0
31/12/2021,51000.0
